Award ID,Year,Award Category,Program,State/Province (Abbrev) (Organization) (Organization),FIPS Code (Organization) (Organization),Organization Name (Organization) (Organization),Abstract of the Program,Status Reason
AWD-001051,2022,Information Technology,People Counter,FL,12015,Charlotte County,"Charlotte County Community Services Department has placed people counters within recreation centers and swimming pools to effectively manage hours of operation. Each facility has counters located at the entrance(s) to the facility. Analytics reveals patron usage by the hour, day, month and year and help identify trends. Facility supervisors use the reports to make annual adjustments to hours of operation and appropriate staffing.

",Awarded
AWD-001052,2022,"Personnel Management, Employment, and Training",Recreation Division Mentorship Program,FL,12015,Charlotte County,"Recreation Division superintendents created the mentorship program and offered it to full-time and part-time front-line staff members. The purpose was to provide a mentorship in leadership development opportunity from a recreation superintendent to a high-performing staff member in the Recreation Division. The desired outcome was to assist the staff member in achieving professional goals through ongoing development. 
",Awarded
AWD-001053,2022,Parks and Recreation,Sam and Charlotte’s Super Safari,FL,12015,Charlotte County,"Charlotte County Community Services Recreation Division created a special event called Sam and Charlotte’s Super Safari which was a free, family-friendly event for families with persons with disabilities. At the event, families could meet and gather information from local agencies and organizations from across the county so they could learn more about different types of opportunities and resources available in the area. The event included presentations, games and crafts. Sam and Charlotte’s Super Safari took place on May 8, 2021. ",Best in Category
AWD-001054,2022,Parks and Recreation,Top Guard,FL,12015,Charlotte County,"Charlotte County Community Services created the Top Guard program in order to promote and recognize the skills, training and teamwork of county lifeguards. During the event, staff participated in a series of events, including emergency scenarios, relay events and water rescues. In addition to exhibiting the lifeguards’ skills, the program was designed as an opportunity to engage customers and drive recruitment of future lifeguard staff.",Awarded
AWD-001776,2022,Human Services,Transform Howard Broadband Initiative,MD,24027,Howard County,"The Transform Howard initiative was launched May 21, 2021, aiming to expand digital inclusion and increase community access to broadband. To date, a community survey has been completed, the Transform Howard Innovation Grant program was launched, our County government website was redesigned, a broadband strategic plan is underway, and three broadband installation projects are proceeding. These projects will serve 85% of the households identified as underserved in a study of broadband needs in Howard County.   ",Awarded
AWD-001782,2022,Health,"COVID-19 Vaccine-Therapeutics Distribution, Allocation, Appointments Program (DAAT)",CA,06071,San Bernardino County,"The year 2021 brought with it new challenges carried on the shoulders of optimism for the pandemic response team within the San Bernardino County (SBC) Department of Public Health (DPH) upon the introduction of the first COVID-19 vaccines. SBC DPH continued on its mission to provide the resources necessary to build healthy, safe, and resilient communities. The new state system CalVax presented the issue of creating equitable vaccination opportunities within the 20,000 square miles of our County at the forefront of COVID-19 response. Initially, a few large hospitals were automatically enrolled in the California Vaccination Program; however, the process for onboarding new providers proved to be difficult to navigate for smaller facilities and County-facilitated sites due to their inability to store the state provided minimum orders. To overcome this challenge, PRP developed a new program under the COVID-19 response: the COVID-19 Vaccine Distribution, Allocation and Appointments Team (DAAT). DAAT ensured that COVID-19 vaccines would be accessible to all SBC healthcare providers, pharmacies, and County sites through a novel County-specific redistribution plan to maximize opportunities for vaccination and immunity throughout the county. ",Awarded
AWD-001783,2022,Health,"Improve residents’ physical and/or behavioral health, including through promoting healthy living and delivering health services",CA,06071,San Bernardino County,"In January 2021, California was experiencing an exponential surge in COVID-19 cases. Hospitals and clinical staff were depleted and on the verge of collapse due to staffing shortages and intensive care units filled beyond capacity. Hospitals added surge Intensive Care Unit (ICU) beds in addition to their non-surge beds so that staff could care for critically ill patients. San Bernardino County considered all solutions to help with preserving resources. In an effort to prevent unnecessary isolation of persistent COVID-19 positive patients admitted to hospitals and free ICU beds more rapidly, the San Bernardino County Department of Public Health (SBCDPH) developed the Bridge Program. This technology-driven initiative increased digital access to the records of COVID-19 positive patients for the purposes of care coordination. The program allowed hospitals to view the COVID-19 status of both symptomatic and asymptomatic patients upon intake, which assisted with calculating the shortest isolation time and freeing up beds for new critically ill COVID-19 positive patients.",Awarded
AWD-001784,2022,Health,SAN BERNARDINO COUNTY COVID-19 MOBILE CLINICS COLLABORATIVE,CA,06071,San Bernardino County,"The San Bernardino County Mobile Clinics Collaborative significantly improved the accessibility and delivery of COVID-19 vaccination services. The Collaborative leverages partnerships between the County and predominant health care providers to streamline and maximize vaccination efforts across the largest county in the United States. The Collaborative allows mass vaccination providers and community-based organizations (CBOs) to come together to share plans of upcoming vaccination events and to identify cities, zip codes, and populations of focus. It allows for strategic planning to ensure equitable coverage of services, targeted clinics to reach diverse communities that needed it most, and strengthens partnerships with community leaders who serve as trusted messengers when promoting vaccination events to their own unique population groups. Since the launch of this initiative, over 980 COVID-19 vaccination and COVID-19 testing events have been executed helping to increase vaccination rates and protect the residents of San Bernardino County against COVID-19. 788 of those events can be viewed via an interactive map that was developed as a result of this initiative. Beyond COVID-19, the partnerships cultivated in this Collaborative will serve as tools to address future public health emergencies and together, we can help improve the health of the community of San Bernardino County. ",Awarded
AWD-001785,2022,Information Technology,Improving Care Coordination with Real-Time Patient Encounter Notifications,CA,06071,San Bernardino County,"Cases of congenital syphilis (CS) have risen steadily in the last 5 years as cases of syphilis continue to increase nationally. CS is preventable with routine care, though not often afforded to pregnant patients with high levels of vulnerability. Coordinating care for pregnant patients can be difficult due to upstream issues and risk factors, including lack of access to medical care, homelessness, and methamphetamine use. 
Manifest MedEx (MX) Notify sends real-time admission/discharge/transfer (ADT) notifications when a patient is admitted to and discharged from a healthcare facility, enhancing care coordination efforts of the public health team. Emergency department (ED) use has been increasing over the past few years and has become a source for primary care for patients who lack access to outpatient care. MX Notify saves valuable time in communicable disease control efforts, allowing public health teams and providers to request and receive patient health information much faster than traditional methods of calling providers and waiting for information to be e-mailed or faxed. 
With real-time notifications, RN Case Managers can intervene quickly to coordinate treatment for infants and pregnant people diagnosed with STDs to reduce adverse health outcomes and risk of transmission, ultimately preventing further spread of disease and debilitation.
",Awarded
AWD-001786,2022,County Administration and Management,Spark Survey: Encouraging Open and Transparent Communication from Employees,CA,06071,San Bernardino County,"Every employee’s voice is key to the success of the San Bernardino County Department of Public Health, Division of Environmental Health Services (EHS). In September 2021, the EHS Division Chief encouraged staff to submit questions and concerns via an online survey and addressed all of the items during a virtual staff meeting. The purpose of this was to encourage staff engagement, increase communication and provide clarity. 

This initiative was modified over the next few months to be the catalyst of positive conversation and provide a space to share not only questions and concerns, but constructive and encouraging items. Thus, in December 2021, the Spark Survey was born.

With the new Spark Survey, staff can now submit questions and concerns, and share ideas and kudos. They can choose identify themselves or be anonymous. This option encourages staff to share honestly, and gives EHS management the opportunity address the comments in an applicable way. The Spark Survey has not only enhanced communication between staff and management, but also provided the Division with the abilitiy to increase innovation, improve morale and overall boost the quality of EHS. 
",Awarded
